account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300178,D-44 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Feb-26,2026,1.89,1.7,2.25,2.06,1.82,1.81,1.89,2.26,2.17,1.88,2.3,2.06,1.88,2,1.7,2.11,1.99,2.12,2.09,2.38,2.2,2.42,2.18,1.87,2.29,2.15,2.32,2.09,0,0,0
4300144,D 44-Building Common,L4,Zone_03_(A),D-44 Building Bulk Meter,D_Building_Common,Feb-26,2026,0.01,0.03,0.01,0.02,0.02,0.01,0,0.03,0.01,0.04,0.02,0.01,0.02,0,0.03,0.02,0.04,0.03,0.02,0.01,0.01,0.01,0.05,0.01,0.03,0.02,0.01,0.03,0,0,0
4300030,Z3-44(1A),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.24,0.18,0.26,0.36,0.22,0.29,0.2,0.25,0.44,0.22,0.3,0.35,0.24,0.39,0.14,0.49,0.19,0.3,0.25,0.34,0.13,0.12,0.09,0.11,0.53,0.37,0.36,0.27,0,0,0
4300031,Z3-44(1B),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
4300032,Z3-44(2A),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.06,0.14,0.3,0.12,0.15,0,0.04,0.14,0.14,0.22,0.1,0.19,0.01,0,0,0,0,0,0,0,0,0.13,0.17,0.25,0.15,0.25,0.26,0.21,0,0,0
4300033,Z3-44(2B),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.21,0.16,0.25,0.27,0.18,0.25,0.21,0.25,0.19,0.19,0.23,0.2,0.26,0.21,0.13,0.23,0.26,0.46,0.46,0.69,0.62,0.47,0.41,0.04,0.02,0.06,0.34,0.22,0,0,0
4300034,Z3-44(5),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300035,Z3-44(6),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Feb-26,2026,1.34,1.18,1.42,1.3,1.24,1.27,1.42,1.57,1.37,1.21,1.63,1.31,1.34,1.4,1.37,1.38,1.33,1.33,1.35,1.32,1.43,1.68,1.53,1.37,1.55,1.44,1.35,1.36,0,0,0
4300179,D-45 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Feb-26,2026,1.08,1.11,1.09,0.71,1.82,0.59,0.57,0.87,0.56,0.88,1.15,0.79,1.09,0.72,0.81,1.23,1.33,1.87,3.31,4.06,1.22,1.55,0.76,1.24,1.91,1.14,0.96,0.89,0,0,0
4300135,D 45-Building Common,L4,Zone_03_(A),D-45 Building Bulk Meter,D_Building_Common,Feb-26,2026,0.02,0.03,0.02,0.02,0.02,0,0.01,0.04,0.04,0.02,0.04,0.03,0.01,0,0.02,0.01,0.02,0.03,0.02,0,0,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0
