account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300178,D-44 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Jan-26,2026,3.16,3.21,3.37,2.91,2.77,10.3,14.3,16.6,10.7,2.37,2.01,2.04,2.02,2.11,2.03,1.9,1.95,2.2,1.88,2.09,2.46,2.32,2.4,2.31,1.85,1.92,2.09,2.1,2.3,1.94,2.22
4300144,D 44-Building Common,L4,Zone_03_(A),D-44 Building Bulk Meter,D_Building_Common,Jan-26,2026,0.01,0.02,0.03,0.02,0.02,0,0.04,0.02,0.01,0.01,0.01,0.02,0,0.02,0.02,0,0,0,0.05,0.04,0.03,0.02,0,0.01,0.04,0.01,0.04,0.02,0.03,0,0.01
4300030,Z3-44(1A),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.61,0.61,0.62,0.49,0.47,0.59,0.6,0.55,0.69,0.41,0.27,0.4,0.28,0.27,0.51,0.22,0.47,0.38,0.27,0.25,0.47,0.42,0.47,0.18,0.14,0.18,0.19,0.13,0.41,0.23,0.27
4300031,Z3-44(1B),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300032,Z3-44(2A),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Jan-26,2026,1.07,0.75,0.88,0.91,0.75,0.63,0.47,0.51,0.26,0.37,0.12,0.11,0.03,0.01,0,0,0,0,0.11,0.24,0.1,0.28,0.37,0.38,0.11,0.19,0.24,0.11,0.1,0.18,0.21
4300033,Z3-44(2B),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.01,0.12,0.13,0.09,0.15,0.05,0.09,0.17,0.21,0.24,0.19,0.19,0.22,0.22,0.3,0.19,0.23,0.24,0.15,0.19,0.21,0.26,0.17,0.17,0.23,0.19,0.19,0.23,0.22,0.27,0.23
4300034,Z3-44(5),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300035,Z3-44(6),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Jan-26,2026,1.46,1.61,1.66,1.39,1.36,9.2,12.9,15.2,8.87,1.33,1.41,1.31,1.46,1.59,1.17,1.47,1.23,1.56,1.29,1.35,1.67,1.33,1.35,1.57,1.31,1.35,1.42,1.79,1.32,1.27,1.51
4300179,D-45 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Jan-26,2026,1.21,0.67,0.78,0.79,0.66,0.68,1.07,0.79,0.71,0.69,0.64,0.64,0.75,1.57,0.66,0.65,0.59,0.85,0.74,1.15,1.75,0.79,1.1,0.7,0.75,0.82,0.83,1.47,0.76,1.08,1
4300135,D 45-Building Common,L4,Zone_03_(A),D-45 Building Bulk Meter,D_Building_Common,Jan-26,2026,0.05,0,0,0.07,0.04,0.03,0.06,0.02,0,0,0.03,0.01,0.06,0.12,0,0,0,0.04,0.02,0.07,0.06,0.04,0,0,0.04,0.06,0.04,0.04,0.03,0,0.03
4300110,Z3-45(1A),L4,Zone_03_(A),D-45 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.33,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300113,Z3-45(2A),L4,Zone_03_(A),D-45 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.09,0.19,0.24,0.23,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.3,0,0.12,0.15,0.22,0.25,0.1,0.26,0.2,0.18,0.27,0.19
4300013,Z3-45(3A),L4,Zone_03_(A),D-45 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0.01,0,0,0,0,0,0.11,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.21,0,0,0,0,0,0.02,0.01,0
4300026,Z3-45(4A),L4,Zone_03_(A),D-45 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.25,0.07,0.03,0.06,0.05,0.11,0.16,0.16,0.25,0.26,0.17,0.19,0.26,0.21,0.24,0.27,0.18,0.42,0.25,0.39,0.42,0.11,0.34,0.07,0.07,0.26,0.13,0.28,0.11,0.32,0.28
4300017,Z3-45(5),L4,Zone_03_(A),D-45 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.4,0.39,0.34,0.43,0.41,0.53,0.35,0.38,0.45,0.42,0.44,0.43,0.43,0.4,0.41,0.38,0.4,0.4,0.41,0.41,0.4,0.39,0.41,0.39,0.4,0.4,0.4,0.4,0.4,0.4,0.39
4300019,Z3-45(6),L4,Zone_03_(A),D-45 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.09,0.01,0.15,0,0,0,0.51,0.08,0.02,0,0,0,0,0.84,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0.56,0.01,0.09,0.11
4300180,D-46 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Jan-26,2026,1.17,0.82,1.48,1.76,1.71,2.74,1.93,1.99,1.13,1.54,1.3,1.79,1.47,1.54,1.56,1.14,1.2,1.83,1.25,1.82,2.97,1.32,2.2,1.31,1.01,1.21,1.18,2.84,1.78,1.5,1.57
