account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300178,D-44 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Mar-26,2026,2.17,2.27,2.28,2.68,2.38,2.19,2.25,2.07,2.31,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300144,D 44-Building Common,L4,Zone_03_(A),D-44 Building Bulk Meter,D_Building_Common,Mar-26,2026,0.03,0.01,0.01,0.07,0.02,0.03,0.04,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300030,Z3-44(1A),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.24,0.23,0.33,0.48,0.38,0.38,0.36,0.24,0.24,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300031,Z3-44(1B),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300032,Z3-44(2A),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.27,0.33,0.41,0.23,0.34,0.31,0.2,0.27,0.47,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300033,Z3-44(2B),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.18,0.22,0.17,0.17,0.21,0.18,0.26,0.21,0.19,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300034,Z3-44(5),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300035,Z3-44(6),L4,Zone_03_(A),D-44 Building Bulk Meter,Residential (Apart),Mar-26,2026,1.45,1.47,1.41,1.68,1.4,1.3,1.4,1.31,1.38,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300179,D-45 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Mar-26,2026,1.34,1.12,1.21,1.83,0.89,0.76,0.74,0.94,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300135,D 45-Building Common,L4,Zone_03_(A),D-45 Building Bulk Meter,D_Building_Common,Mar-26,2026,0.04,0.09,0.05,0.07,0.04,0,0.02,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300110,Z3-45(1A),L4,Zone_03_(A),D-45 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300113,Z3-45(2A),L4,Zone_03_(A),D-45 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.3,0.21,0.37,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300013,Z3-45(3A),L4,Zone_03_(A),D-45 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0.09,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300026,Z3-45(4A),L4,Zone_03_(A),D-45 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.56,0.25,0.29,0.31,0.28,0.29,0.27,0.27,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300017,Z3-45(5),L4,Zone_03_(A),D-45 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.45,0.58,0.51,0.47,0.47,0.45,0.45,0.44,0.45,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
