meter_name,account_number,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
IRR Tank Z08,4300294,N/A (not in Tadoom),Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Feb-26,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building Security,4300297,Building (Security),Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Feb-26,2026,1.7,1.44,1.0,0.92,0.82,0.96,1.3,0.94,0.89,0.9,0.86,0.79,0.9,0.9,0.8,0.81,0.82,0.87,0.82,0.81,0.89,0.89,0.88,1.03,0.91,0.83,0.76,0.78,0.0,0.0,0.0
Building ROP,4300299,Building (ROP),Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Feb-26,2026,1.72,1.48,1.01,0.96,0.98,1.25,1.59,1.15,1.22,1.17,1.1,0.88,0.9,0.93,0.85,0.88,0.9,0.95,1.02,1.12,1.08,1.14,1.15,1.29,1.23,1.02,0.87,0.89,0.0,0.0,0.0
IRR Tank 01 Inlet,4300323,Irrigation Tank 01 (Inlet),Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Feb-26,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hotel Main Building,4300334,"Hotel 2, Main Building",Direct Conn.,Main Bulk (NAMA) C43659,Retail,Feb-26,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92032.0,463.0,424.0,495.0,505.0,534.0,570.0,441.0,534.0,493.0,100483.0,462.0,559.0,0.0,0.0,0.0
Community Mgmt / STP,4300336,"Community Mgmt - Technical Zone, STP",Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Feb-26,2026,1.96,4.93,1.81,0.83,0.73,11.2,15.6,8.98,6.32,1.51,1.72,1.36,0.56,2.78,1.06,1.78,1.54,1.84,1.36,0.3,4.3,2.32,2.26,2.9,6.98,2.49,2.33,2.47,0.0,0.0,0.0
Main Entrance Phase 02,4300338,"PHASE 02, MAIN ENTRANCE (Infrastructure)",Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Feb-26,2026,0.41,0.11,0.14,0.16,0.07,0.12,0.08,0.18,0.15,0.06,0.14,0.13,0.07,0.04,0.14,0.27,0.19,0.22,0.12,0.24,0.1,0.11,0.15,0.16,0.29,0.12,0.12,0.17,0.0,0.0,0.0
Irrigation Controller UP,4300340,Irrigation- Controller UP,Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Feb-26,2026,4.1,5.8,4.2,3.8,4.2,2.7,3.7,6.6,5.3,2.8,0.5,2.3,2.1,1.2,2.6,1.1,2.9,1.8,1.1,3.1,1.1,2.5,2.4,2.6,3.3,0.6,0.0,0.5,0.0,0.0,0.0
Irrigation Controller DOWN,4300341,Irrigation- Controller DOWN,Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Feb-26,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Adrak Camp,4300348,Zen (3C) – Construction Area,Direct Conn.,Main Bulk (NAMA) C43659,Retail,Feb-26,2026,27.0,36.0,24.7,47.3,36.5,1.9,37.4,38.3,45.4,55.6,36.0,39.1,2.5,65.3,67.2,56.1,75.4,73.4,35.8,8.9,17.5,58.6,65.4,29.1,47.8,12.8,2.3,50.4,0.0,0.0,0.0
Al Adrak Accommodation,4300349,Zen (3C) – Camp Area,Direct Conn.,Main Bulk (NAMA) C43659,Retail,Feb-26,2026,48.1,45.0,45.0,44.0,45.2,49.2,42.8,44.4,47.9,46.4,45.1,47.7,59.3,47.7,48.3,51.1,51.1,57.0,64.2,80.7,71.4,60.3,51.4,51.8,47.9,52.0,58.4,48.9,0.0,0.0,0.0
