meter_name,account_number,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
IRR Tank Z08,4300294,N/A (not in Tadoom),Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Mar-26,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building Security,4300297,Building (Security),Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Mar-26,2026,0.82,0.83,0.79,0.78,0.73,0.85,0.76,0.77,0.78,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Building ROP,4300299,Building (ROP),Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Mar-26,2026,0.88,0.92,0.9,0.89,0.81,0.96,0.95,1.02,0.98,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRR Tank 01 Inlet,4300323,Irrigation Tank 01 (Inlet),Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Mar-26,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hotel Main Building,4300334,"Hotel 2, Main Building",Direct Conn.,Main Bulk (NAMA) C43659,Retail,Mar-26,2026,511.0,458.0,514.0,524.0,488.0,495.0,457.0,411.0,394.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Community Mgmt / STP,4300336,"Community Mgmt - Technical Zone, STP",Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Mar-26,2026,1.39,2.42,7.36,4.6,1.94,7.9,3.02,1.73,1.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main Entrance Phase 02,4300338,"PHASE 02, MAIN ENTRANCE (Infrastructure)",Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Mar-26,2026,0.15,0.14,0.15,0.2,0.14,0.12,0.15,0.23,0.43,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irrigation Controller UP,4300340,Irrigation- Controller UP,Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Mar-26,2026,2.8,1.1,2.5,0.6,3.0,3.5,1.2,1.1,2.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irrigation Controller DOWN,4300341,Irrigation- Controller DOWN,Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Mar-26,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Adrak Camp,4300348,Zen (3C) – Construction Area,Direct Conn.,Main Bulk (NAMA) C43659,Retail,Mar-26,2026,14.2,10.6,15.1,18.7,12.3,7.0,27.0,44.5,18.3,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Adrak Accommodation,4300349,Zen (3C) – Camp Area,Direct Conn.,Main Bulk (NAMA) C43659,Retail,Mar-26,2026,50.7,53.3,56.1,49.8,50.6,54.2,50.3,50.5,53.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
