Meter NameAcct #LabelZoneParent MeterTypeJan-24Feb-24Mar-24Apr-24May-24Jun-24Jul-24Aug-24Sep-24Oct-24Nov-24Dec-24
Z5-174300001L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)99515362135140341326310354148
Z3-42 (Villa)4300002L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)613336473942252044575175
Z3-46(5) (Building)4300003L4Zone_03_(A)D-46 Building Bulk MeterResidential (Apart)000000000000
Z3-49(3) (Building)4300004L4Zone_03_(A)D-49 Building Bulk MeterResidential (Apart)11223018671171095
Z3-38 (Villa)4300005L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)000003043021211
Z3 075(4)4300006L4Zone_03_(A)D-75 Building Bulk MeterResidential (Apart)0143000000076
Z3-46(3) (Building)4300007L4Zone_03_(A)D-46 Building Bulk MeterResidential (Apart)1376252730354129443243
Z3-52(6) (Building)4300008L4Zone_03_(B)D-52 Building Bulk MeterResidential (Apart)272219282727298581418178
Z3-21 (Villa)4300009L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)373824203141954263684543
Z3-49(4) (Building)4300010L4Zone_03_(A)D-49 Building Bulk MeterResidential (Apart)1110000000004
Z3-46(1) (Building)4300011L4Zone_03_(A)D-46 Building Bulk MeterResidential (Apart)91010111010111112171113
Z3-47(2) (Building)4300012L4Zone_03_(A)D-47 Building Bulk MeterResidential (Apart)000000223131
Z3-45(3) (Building)4300013L4Zone_03_(A)D-45 Building Bulk MeterResidential (Apart)580202000102
Z3-46(2) (Building)4300014L4Zone_03_(A)D-46 Building Bulk MeterResidential (Apart)000000000000
Z3-46(6) (Building)4300015L4Zone_03_(A)D-46 Building Bulk MeterResidential (Apart)321133222212
Z3-47(4) (Building)4300016L4Zone_03_(A)D-47 Building Bulk MeterResidential (Apart)1515261522142361616813
Z3-45(5) (Building)4300017L4Zone_03_(A)D-45 Building Bulk MeterResidential (Apart)4321068937221510
Z3-47(5) (Building)4300018L4Zone_03_(A)D-47 Building Bulk MeterResidential (Apart)8561372011501359
Z3-45(6) (Building)4300019L4Zone_03_(A)D-45 Building Bulk MeterResidential (Apart)3342038645674
Z3-20 (Villa)4300020L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)2112226410141011
Z3-50(4) (Building)4300021L4Zone_03_(A)D-50 Building Bulk MeterResidential (Apart)15476115696989
Z3 074(3)4300022L4Zone_03_(A)D-74 Building Bulk MeterResidential (Apart)215416622561213241912
Z8-114300023L3Zone_08BULK ZONE 8Residential (Villa)0100123221120
Z8-134300024L3Zone_08BULK ZONE 8Residential (Villa)6211015000321
Z3-13 (Villa)4300025L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)24272317202410115201619
Z3-45(4) (Building)4300026L4Zone_03_(A)D-45 Building Bulk MeterResidential (Apart)001000000000
Z3-50(5) (Building)4300027L4Zone_03_(A)D-50 Building Bulk MeterResidential (Apart)200101231098128
Z3-50(6) (Building)4300028L4Zone_03_(A)D-50 Building Bulk MeterResidential (Apart)6141615162011217252123
Z3-52(4) (Building)4300029L4Zone_03_(B)D-52 Building Bulk MeterResidential (Apart)010000010000
Z3-44(1) (Building)4300030L4Zone_03_(A)D-44 Building Bulk MeterResidential (Apart)002025237002985
Z3-44(1) (Building)4300031L4Zone_03_(A)D-44 Building Bulk MeterResidential (Apart)000000000000
Z3-44(3) (Building)4300032L4Zone_03_(A)D-44 Building Bulk MeterResidential (Apart)421520211523772
Z3-44(4) (Building)4300033L4Zone_03_(A)D-44 Building Bulk MeterResidential (Apart)738342245958
Z3-44(5) (Building)4300034L4Zone_03_(A)D-44 Building Bulk MeterResidential (Apart)14813512699152561132115249208135
Z3-44(6) (Building)4300035L4Zone_03_(A)D-44 Building Bulk MeterResidential (Apart)362019161397917393333
Z3 075(1)4300036L4Zone_03_(A)D-75 Building Bulk MeterResidential (Apart)000000000006
Z3 075(3)4300037L4Zone_03_(A)D-75 Building Bulk MeterResidential (Apart)400002000314
Z3-23 (Villa)4300038L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)2916181815322428253722
Z3-47(3) (Building)4300039L4Zone_03_(A)D-47 Building Bulk MeterResidential (Apart)141514141914161913211718
