Meter Label,Acct #,Zone,Type,Parent Meter,Label,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
Z5-17,4300001,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,99,51,53,62,135,140,34,132,63,103,54,148,112,80,81
Z3-42 (Villa),4300002,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,61,33,36,47,39,42,25,20,44,57,51,75,32,46,19
Z3-46(5) (Building),4300003,Zone_03_(A),Residential (Apart),D-46 Building Bulk Meter,L3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Z3-49(3) (Building),4300004,Zone_03_(A),Residential (Apart),D-49 Building Bulk Meter,L3,1,1,22,30,18,6,7,11,7,10,9,5,10,15,11
Z3-38 (Villa),4300005,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,0,0,0,0,0,3,0,4,30,2,12,11,10,7,7
Z3-75(4) (Building),4300006,Zone_03_(A),Residential (Apart),D-75 Building Bulk Meter,L3,0,14,3,0,0,0,0,0,0,0,7,6,0,0,0
Z3-46(3A) (Building),4300007,Zone_03_(A),Residential (Apart),D-46 Building Bulk Meter,L3,13,7,6,25,27,30,35,41,29,44,32,43,38,35,15
Z3-52(6) (Building),4300008,Zone_03_(B),Residential (Apart),D-52 Building Bulk Meter,L3,27,22,19,28,27,27,298,58,14,18,17,8,10,9,9
Z3-21 (Villa),4300009,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,37,38,24,20,31,41,9,54,263,68,45,43,41,53,42
Z3-049(4) (Building),4300010,Zone_03_(A),Residential (Apart),D-49 Building Bulk Meter,L3,11,1,0,0,0,0,0,0,0,0,0,4,8,1,8
Z3-46(1A) (Building),4300011,Zone_03_(A),Residential (Apart),D-46 Building Bulk Meter,L3,9,10,10,11,10,10,11,11,12,17,11,13,11,10,10
Z3-47(2) (Building),4300012,Zone_03_(A),Residential (Apart),D-47  Building Bulk Meter,L3,0,0,0,0,0,0,2,2,3,1,3,1,1,1,1
Z3-45(3A) (Building),4300013,Zone_03_(A),Residential (Apart),D-45 Building Bulk Meter,L3,5,8,0,2,0,2,0,0,0,1,0,2,8,4,0
Z3-46(2A) (Building),4300014,Zone_03_(A),Residential (Apart),D-46 Building Bulk Meter,L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z3-46(6) (Building),4300015,Zone_03_(A),Residential (Apart),D-46 Building Bulk Meter,L3,3,2,1,1,3,3,2,2,2,2,1,2,3,1,1
Z3-47(4) (Building),4300016,Zone_03_(A),Residential (Apart),D-47  Building Bulk Meter,L3,15,15,26,15,22,14,23,6,16,16,8,13,11,12,0
Z3-45(5) (Building),4300017,Zone_03_(A),Residential (Apart),D-45 Building Bulk Meter,L3,4,3,2,10,6,8,9,3,7,22,15,10,5,3,2
Z3-47(5) (Building),4300018,Zone_03_(A),Residential (Apart),D-47  Building Bulk Meter,L3,8,56,13,7,2,0,1,15,0,13,5,9,36,12,11
Z3-45(6) (Building),4300019,Zone_03_(A),Residential (Apart),D-45 Building Bulk Meter,L3,3,3,4,20,3,8,6,4,5,6,7,4,5,18,32
Z3-20 (Villa),4300020,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,2,1,1,2,2,2,6,4,10,14,10,11,12,14,7
Z3-50(4) (Building),4300021,Zone_03_(A),Residential (Apart),D-50 Building Bulk Meter,L3,15,4,7,6,11,5,6,9,6,9,8,9,6,4,6
Z3-74(3) (Building),4300022,Zone_03_(A),Residential (Apart),D-74 Building Bulk Meter,L3,21,54,16,6,22,5,6,12,13,24,19,12,12,19,19
Z8-11,4300023,Zone_08,Residential (Villa),BULK ZONE 8,L3,0,1,0,0,1,23,2,2,1,1,2,0,0,1,0
Z8-13,4300024,Zone_08,Residential (Villa),BULK ZONE 8,L3,6,2,1,1,0,15,0,0,0,3,2,1,0,0,0
Z3-13 (Villa),4300025,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,24,27,23,17,20,24,10,11,5,20,16,19,20,22,18
